PPFD,CO2,T,Pn
1900,1900,32,37.97496012
1700,1900,32,36.7373284
1500,1900,32,35.85104318
1300,1900,32,35.08730305
1100,1900,32,33.8340678
1000,1900,32,33.03840993
900,1900,32,32.02666586
800,1900,32,30.96825898
700,1900,32,29.54159562
600,1900,32,27.58561856
500,1900,32,25.22784131
400,1900,32,20.95360957
300,1900,32,17.2467861
200,1900,32,12.63884001
100,1900,32,4.310943183
50,1900,32,1.154218672
20,1900,32,-0.546386427
0,1900,32,-1.683071903
1900,1600,32,37.81097057
1700,1600,32,37.1389036
1500,1600,32,35.56655745
1300,1600,32,34.76428683
1100,1600,32,33.18024201
1000,1600,32,33.07465575
900,1600,32,32.24062173
800,1600,32,31.28193475
700,1600,32,29.43498045
600,1600,32,27.51844899
500,1600,32,24.52589821
400,1600,32,20.86888634
300,1600,32,16.28596571
200,1600,32,10.81618599
100,1600,32,4.885253212
50,1600,32,1.372380797
20,1600,32,-0.493830604
0,1600,32,-1.640237281
1900,1300,32,35.23356961
1700,1300,32,34.35855029
1500,1300,32,33.41815992
1300,1300,32,32.59385804
1100,1300,32,31.4711529
1000,1300,32,30.95993607
900,1300,32,29.94212083
800,1300,32,29.37437656
700,1300,32,28.33527482
600,1300,32,26.30855624
500,1300,32,23.77842404
400,1300,32,20.08276818
300,1300,32,15.83247586
200,1300,32,10.86214034
100,1300,32,5.036661324
50,1300,32,1.747477908
20,1300,32,-0.233627532
0,1300,32,-1.587075606
1900,1000,32,32.71877079
1700,1000,32,30.90269642
1500,1000,32,29.73915892
1300,1000,32,28.83326829
1100,1000,32,25.40577487
1000,1000,32,24.98687794
900,1000,32,23.87084507
800,1000,32,22.77032338
700,1000,32,21.17312433
600,1000,32,18.16611941
500,1000,32,16.9681391
400,1000,32,14.14918691
300,1000,32,11.67109166
200,1000,32,9.589007534
100,1000,32,4.54551327
50,1000,32,0.811320009
20,1000,32,-0.638052539
0,1000,32,-1.672528486
1900,800,32,25.80175769
1700,800,32,24.71564992
1500,800,32,24.85273826
1300,800,32,23.07476
