entity_id,state,last_changed
sensor.greenpi_arduino_nano_roomtemp_temperature,35.34,2025-11-02T15:09:35.939000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.37,2025-11-02T15:11:16.024000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.35,2025-11-02T15:12:56.121000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.39,2025-11-02T15:14:36.219000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.42,2025-11-02T15:16:16.406000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.44,2025-11-02T15:17:56.401000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.49,2025-11-02T15:19:36.573000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.5,2025-11-02T15:21:16.591000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.53,2025-11-02T15:24:36.809000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.54,2025-11-02T15:26:16.893000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.58,2025-11-02T15:27:56.972000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.6,2025-11-02T15:29:37.085000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.57,2025-11-02T15:31:17.217000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.61,2025-11-02T15:32:57.252000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.62,2025-11-02T15:34:37.353000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.61,2025-11-02T15:36:17.479000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.68,2025-11-02T15:37:57.531000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.69,2025-11-02T15:41:17.703000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.72,2025-11-02T15:42:57.791000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.75,2025-11-02T15:44:37.888000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.73,2025-11-02T15:46:17.984000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.72,2025-11-02T15:47:58.085000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.77,2025-11-02T15:49:38.177000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.8,2025-11-02T15:51:18.276000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.82,2025-11-02T15:52:58.372000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.83,2025-11-02T15:54:38.494000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.84,2025-11-02T15:57:58.703000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.87,2025-11-02T15:59:38.736000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.9,2025-11-02T16:01:18.786000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.91,2025-11-02T16:02:58.892000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.88,2025-11-02T16:04:38.976000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.94,2025-11-02T16:06:19.142000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.97,2025-11-02T16:11:19.332000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.98,2025-11-02T16:14:39.603000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.97,2025-11-02T16:16:19.703000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.01,2025-11-02T16:17:59.784000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.03,2025-11-02T16:19:39.845000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.08,2025-11-02T16:23:00.037000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.1,2025-11-02T16:24:40.132000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.08,2025-11-02T16:26:20.227000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.05,2025-11-02T16:28:00.339000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.1,2025-11-02T16:29:40.426000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.09,2025-11-02T16:31:20.505000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.16,2025-11-02T16:33:00.599000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.14,2025-11-02T16:36:20.771000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.19,2025-11-02T16:38:00.828000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.16,2025-11-02T16:39:40.928000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.19,2025-11-02T16:41:21.030000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.23,2025-11-02T16:44:41.228000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.24,2025-11-02T16:46:21.323000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.25,2025-11-02T16:51:21.607000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.29,2025-11-02T16:54:41.789000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.28,2025-11-02T16:56:21.884000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.31,2025-11-02T16:59:42.057000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.32,2025-11-02T17:01:22.170000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.29,2025-11-02T17:08:02.483000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.31,2025-11-02T17:09:42.543000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.34,2025-11-02T17:11:22.629000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.38,2025-11-02T17:13:02.666000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.36,2025-11-02T17:14:42.755000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.34,2025-11-02T17:16:22.870000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.35,2025-11-02T17:18:02.920000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.38,2025-11-02T17:19:43.007000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.4,2025-11-02T17:23:03.094000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.38,2025-11-02T17:24:43.196000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.36,2025-11-02T17:26:23.270000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.39,2025-11-02T17:28:03.347000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.4,2025-11-02T17:29:43.392000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.39,2025-11-02T17:31:23.478000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.42,2025-11-02T17:33:03.530000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.43,2025-11-02T17:34:43.630000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.45,2025-11-02T17:39:43.861000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.43,2025-11-02T17:41:23.935000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.46,2025-11-02T17:43:04.017000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.47,2025-11-02T17:44:44.103000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.49,2025-11-02T17:46:24.155000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.5,2025-11-02T17:48:04.204000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.49,2025-11-02T17:49:44.282000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.53,2025-11-02T17:51:24.382000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.51,2025-11-02T17:53:04.456000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.55,2025-11-02T17:54:44.530000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.57,2025-11-02T17:58:04.654000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.61,2025-11-02T18:01:24.858000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.59,2025-11-02T18:03:04.915000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.56,2025-11-02T18:04:44.987000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.57,2025-11-02T18:06:25.078000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.63,2025-11-02T18:08:05.127000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.59,2025-11-02T18:09:45.221000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.64,2025-11-02T18:11:25.326000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.6,2025-11-02T18:13:05.372000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,36.64,2025-11-02T18:14:45.459000Z
