label,t_min,co2_ppm,t_air,rh,uBoil,uCO2,uLamp,uVent,lamp_kwh_step,heat_kwh_step,Pn_gross_ch2o,Pn_net_co2,resp_growth,resp_maint,parCan,fruit_growth_dm,profit,elec_cost,heat_cost,lamp_kwh_cum,heat_kwh_cum,energy_kwh_cum,Pn_cum_co2_mg_m2
eco RB,3120.0,610.1321411132812,15.96196460723877,85.71289825439453,0.9992553463957149,5.761918736081694e-13,0.0,0.00023718477637702307,0.0,0.03247579875786074,-6.775740889901656e-16,-0.07837475561171549,0.0011343356430027062,0.05230299682375907,0.0,-2.972241479132208,-0.002995984792759919,0.0,0.002922821925580502,0.0,2.693181525358917,2.693181525358917,33796.27562298216
eco RB,3135.0,606.5221557617188,14.698572158813477,87.77783203125,0.9994991066073741,0.0002936670996873764,0.0,3.7180232034685623e-06,0.0,0.032483720964739664,0.005296211624416758,-0.07032372592182348,0.0011201153064707677,0.052124090452733814,2.4599665335041667,-3.0130069766455563,-0.002998097592678364,0.0,0.0029235348165035247,0.0,2.7256652463236564,2.7256652463236564,33732.98426965252
eco RB,3150.0,991.57080078125,14.770974159240723,87.36576080322266,0.9999999999933575,0.9999977582245887,0.0,6.64236552427866e-08,0.0,0.032499999999784125,0.01565491153027226,-0.05492163041244972,0.0011656439583870803,0.05193583312810394,6.504847907527358,-2.9636933349393075,-0.004347949393603306,0.0,0.002925,0.0,2.7581652463234403,2.7581652463234403,33683.55480228132
eco RB,3165.0,982.316650390625,15.098779678344727,86.65237426757812,0.999999999987869,2.1735168412477683e-10,0.0,1.2131029236694957e-07,0.0,0.03249999999960575,0.025215822280871623,-0.0407946699185987,0.001272885307961524,0.05175748417369437,10.5220553232864,-2.7759770853444934,-0.002993331743932674,0.0,0.002925,0.0,2.790665246323046,2.790665246323046,33646.83959935458
eco RB,3180.0,973.1976928710938,15.48246955871582,86.19290924072266,0.9999999997516187,5.097177310412458e-10,0.0,2.483807343134359e-06,0.0,0.03249999999192761,0.03468579403020999,-0.026918723666680324,0.0014457311205509332,0.05159373782615578,14.538891493657767,-2.455877980988589,-0.0029854523817586073,0.0,0.002925,0.0,2.8231652463149737,2.8231652463149737,33622.61274805457
eco RB,3195.0,962.4203491210938,15.917217254638672,86.04093170166016,0.9999999914910013,1.180568005484944e-09,0.0,9.00162100354142e-06,0.0,0.032499999723457546,0.05100964695986708,-0.003217061944909768,0.0017563906188250115,0.0514467076299749,21.512435792760417,-1.9240379431284964,-0.0029723609355784683,0.0,0.002925,0.0,2.855665246038431,2.855665246038431,33619.71739230415
eco RB,3210.0,949.177490234375,16.393817901611328,85.97970581054688,0.9999995334829954,3.1855293224214175e-09,0.0,6.803700837996554e-06,0.0,0.03249998483819735,0.07111467580258726,0.02564563389797969,0.0023105555739837856,0.05131846104879532,30.214893015949027,-0.9911162783100735,-0.0029493953179409475,0.0,0.002924998605251312,0.0,2.8881652308766284,2.8881652308766284,33642.79846281233
eco RB,3225.0,933.4878540039062,16.874217987060547,85.94378662109375,0.9999623939064813,1.0786949625250992e-08,0.0,6.0780007857524675e-06,0.0,0.03249877780196064,0.09086631999534313,0.0533806751253844,0.003260583319899382,0.051209822433524156,38.91661216900902,0.614924967449042,-0.0029097533891762756,0.0,0.002924889989197254,0.0,2.920664008678589,2.920664008678589,33690.84107042517
eco RB,3240.0,915.48486328125,17.342052459716797,85.92325592041016,0.996870249981142,4.575964785669613e-08,0.0,5.688895047415049e-06,0.0,0.03239828312438712,0.11023733439165541,0.07956882334055913,0.0048652346156597736,0.05112063023517113,47.617653853398096,3.327867780943052,-0.002833928883386457,0.0,0.002915845566987991,0.0,2.953062291802976,2.953062291802976,33762.45301143167
eco RB,3255.0,894.7544555664062,17.862749099731445,86.2487564086914,0.8107274366454855,2.4021618300155143e-07,0.0,5.477797847739685e-06,0.0,0.02634864169097828,0.14265670261007776,0.12273638033765538,0.007919240461847301,0.05105356788049637,62.342827148889825,8.247955358892796,-0.0021683514269390924,0.0,0.002371377696096897,0.0,2.9794109334939542,2.9794109334939542,33872.915753735564
eco RB,3270.0,836.6095581054688,19.147117614746094,86.80004119873047,0.034189683585037586,1.6211543981054082e-06,1.0,9.976804278952739e-06,0.029,0.0011111647165137216,0.508347641634249,0.6145139486367558,0.03831616569413285,0.051044699873452656,240.7418236579149,39.759857963130344,-0.00782130281372051,0.0087,0.00010000482117757201,0.029,2.980522098210468,3.009522098210468,34425.978307508645
eco RB,3285.0,779.0750122070312,19.611555099487305,89.1081314086914,2.5794684227954605e-07,0.0003431380894943771,1.0,2.7544098266885283e-05,0.029,8.383272374085248e-09,0.533570979308291,0.597318971250017,0.07522556459587568,0.05108248666546135,258.8218805784455,120.19343672643299,-0.0057418563176501345,0.0087,7.544945404447389e-10,0.058,2.98052210659374,3.03852210659374,34963.56538163366
eco RB,3300.0,743.1255493164062,19.888179779052734,90.61673736572266,3.5791622241410322e-09,0.06428900813474424,1.0,0.0019304588368506705,0.029,1.1632277228458354e-10,0.5602254752143783,0.606408255764716,0.09561596515144342,0.051149342679079356,276.91233701676947,181.29509251324635,-0.004324141744306363,0.0087,1.0469049727124258e-11,0.08700000000000001,2.980522106710063,3.0675221067100633,35509.33281182191
eco RB,3315.0,853.3489990234375,18.771268844604492,91.33832550048828,2.800794807630644e-10,0.6532050302416954,1.0,0.030205288389850992,0.029,9.102583124799593e-12,0.5882468829336706,0.6320017764765197,0.10612624098621581,0.05121034710103665,281.4206846640335,212.44726767623797,-0.004352355596589022,0.0087,8.192325005873524e-13,0.116,2.9805221067191656,3.0965221067191657,36078.134410650775
eco RB,3330.0,574.0155639648438,15.924022674560547,90.2680435180664,8.220941130341921e-06,7.345239085539432e-05,1.0,0.10528428062418746,0.029,2.6718058673611244e-07,0.523330461328908,0.5315833837637908,0.10968248633697592,0.051204764926648466,278.7661879106327,227.6051478599402,-0.003097534951968241,0.0087,2.4046251837717136e-08,0.14500000000000002,2.980522373899752,3.125522373899752,36556.55945603819
eco RB,3345.0,905.3041381835938,18.052000045776367,89.11392974853516,0.9999995033062463,0.9999999086673913,1.0,0.004942391440900029,0.029,0.032499983857453,0.5855167896844629,0.6185621211178576,0.11257870787056368,0.051191188193222006,276.1119280283673,232.814860290644,-0.007244171114087534,0.0087,0.002924998605251312,0.17400000000000002,3.013022357757205,3.187022357757205,37113.26536504426
eco RB,3360.0,840.52587890625,18.862396240234375,90.61192321777344,0.006156280917379696,6.135206955275352e-07,1.0,0.0019511959217796066,0.029,0.00020007912981484012,0.5713213369968662,0.5937377309188111,0.11527364932090473,0.05122651435893765,273.45808064188566,239.69306226795015,-0.0028178710331126563,0.0087,1.800712222466245e-05,0.203,3.0132224368870197,3.2162224368870196,37647.62932287119
eco RB,3375.0,694.5794677734375,17.973804473876953,91.55858612060547,3.5515120890666784e-06,0.0002392535311282952,1.0,0.029945018824162138,0.029,1.1542414289466706e-07,0.5570527054769215,0.5704354858786888,0.11685641611360517,0.05126301012279858,280.62714779219135,244.32479143368255,-0.0026861846682167618,0.0087,1.0388172626107917e-08,0.232,3.0132225523111624,3.2452225523111626,38161.02126016201
eco RB,3390.0,693.4408569335938,14.703822135925293,88.65974426269531,0.012568725244431665,0.9939668107814624,1.0,0.15005738952512557,0.029,0.0004084835704440291,0.5767933951786568,0.5982413358190556,0.1176750534573321,0.05122652875158431,292.70970568744036,246.51655780091824,-0.004010518841198646,0.0087,3.6763521423563364e-05,0.261,3.0136310358816063,3.2746310358816064,38699.43846239916
