label,t_min,co2_ppm,t_air,rh,uBoil,uCO2,uLamp,uVent,lamp_kwh_step,heat_kwh_step,Pn_gross_ch2o,Pn_net_co2,resp_growth,resp_maint,parCan,fruit_growth_dm,profit,elec_cost,heat_cost,lamp_kwh_cum,heat_kwh_cum,energy_kwh_cum,Pn_cum_co2_mg_m2
default RB,2445.0,660.7452392578125,17.51909065246582,83.27131652832031,0.8590970971774765,0.0007847056679104836,0.0,0.05227275018541709,0.0,0.02792065565826799,0.09969409079903697,-0.14931945959370627,0.14173220853369717,0.059770602991652946,46.625611565905906,298.70563624925853,0.004838835685182981,0.0,0.002512859085202217,0.0,3.0306115684636423,3.0306115684636423,41588.466321411724
default RB,2460.0,1055.2880859375,18.802696228027344,85.38929748535156,0.9999988077578162,0.9997310350666557,0.0,0.00041388303573355515,0.0,0.03249996125212903,0.09632564815299564,-0.1540227015412515,0.1416696009426229,0.059671523755711726,40.58603433844976,298.2813988967828,0.0030676779081432433,0.0,0.0029249965131282803,0.0,3.0631115297157714,3.0631115297157714,41449.8458900246
default RB,2475.0,937.4119873046875,18.35673713684082,84.96027374267578,0.8602346727877336,6.144350586289036e-13,0.0,0.020074023141233355,0.0,0.027957626865601343,0.07662837668766334,-0.1823308451140986,0.1413548494037758,0.05959001048388659,32.90644000621323,297.9577622260549,0.004818158483792412,0.0,0.002516186432540417,0.0,3.091069156581373,3.091069156581373,41285.74812942191
default RB,2490.0,891.5250244140625,18.37582778930664,85.13816833496094,0.9973344114441892,3.1880111002977424e-08,0.0,0.009208749010194894,0.0,0.03241336837193615,0.05434030748501601,-0.2120263888144451,0.13940527616836212,0.05949847578768094,23.506492556662693,296.1787184807181,0.0043733498467645225,0.0,0.0029172031804919245,0.0,3.123482524953309,3.123482524953309,41094.92437948891
default RB,2505.0,833.8867797851562,17.68553352355957,85.84759521484375,0.37819829734807925,1.2745233140994483e-13,0.0,0.012733851585079574,0.0,0.012291444663812576,0.03231092469439154,-0.2143435402399108,0.11906241299006684,0.059391832120507936,14.10487318555415,278.24651463162445,0.005742914960239841,0.0,0.0011062300153076648,0.0,3.1357739696171216,3.1357739696171216,40902.01519327299
default RB,2520.0,674.7023315429688,15.633708953857422,84.56825256347656,0.15478235802385287,4.54521105848599e-20,0.0,0.04548475033370275,0.0,0.005030426635775217,0.010351565443886289,-0.1659629663941682,0.06429326526513672,0.05921486625867757,4.701723522434625,190.1237173484842,0.004227230039156901,0.0,0.0004527383878827095,0.0,3.140804396252897,3.140804396252897,40752.64852351824
default RB,2535.0,668.4132690429688,16.962003707885742,77.5376968383789,0.9999350736832854,1.868985999734336e-22,0.0,0.004494164346467107,0.0,0.032497889894706776,-4.599187824972136e-16,-0.136561309381325,0.03407817330319652,0.05903180878924406,0.0,94.50852440485323,-0.0005984464621769554,0.0,0.002924810139834881,0.0,3.1733022861476035,3.1733022861476035,40629.74334507505
default RB,2550.0,675.27294921875,18.410654067993164,77.6624755859375,0.00014188147852444094,1.8342945301930656e-29,0.0,2.8973638828177e-07,0.0,4.61114805204433e-06,-4.584412540744092e-16,-0.11816863532776317,0.02167508313893255,0.058894439583883386,0.0,52.03154992047348,0.0012803616101007692,0.0,4.1500332627038006e-07,0.0,3.1733068972956553,3.1733068972956553,40523.39157328006
default RB,2565.0,675.5014038085938,18.16913414001465,83.06333923339844,2.2771139041140316e-10,9.751684980133064e-30,0.0,8.140484914288873e-06,0.0,7.400620188370602e-12,-4.588891706027239e-16,-0.109009117320523,0.015557042267440344,0.058767354647097786,0.0,33.233328460133635,0.0008180511614295414,0.0,6.660558198728904e-13,0.0,3.173306897303056,3.173306897303056,40425.28336769159
default RB,2580.0,674.3049926757812,17.7473087310791,86.52845764160156,2.106016710799982e-09,9.548614029805007e-30,0.0,0.0002821906893718022,0.0,6.84455431009994e-11,-4.595021841612083e-16,-0.10362765166241067,0.012025916326462709,0.05862929951967503,0.0,23.239065924979514,0.0005720385396855507,0.0,6.160098831031746e-12,0.0,3.1733068973715017,3.1733068973715017,40332.018481195424
default RB,2595.0,620.8256225585938,16.650007247924805,87.66959381103516,1.0250913108915704e-07,1.0661020987831003e-29,0.0,0.1431193859110146,0.0,3.331546760397604e-09,-6.769431450499375e-16,-0.10004044911173701,0.009745754436930685,0.05846364152970838,0.0,17.145157044942607,0.00042203433511321745,0.0,2.998392158559682e-10,0.0,3.1733069007030483,3.1733069007030483,40241.982076994864
