# Start @ 2025-09-10 12:00:36 test
time,update_type,device,on,brightness,apower,voltage,current
2025-09-10T12:55:20.485914,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.055
2025-09-10T12:56:00.089954,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.093
2025-09-10T12:56:00.096987,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.055
2025-09-10T12:57:01.455146,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.093
2025-09-10T12:57:07.356036,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.055
2025-09-10T12:58:00.166122,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.093
2025-09-10T12:58:00.166447,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.055
2025-09-10T12:59:00.095741,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.093
2025-09-10T12:59:00.096799,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.055
2025-09-10T13:00:00.079396,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.093
2025-09-10T13:00:00.089653,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.055
2025-09-10T13:01:00.085430,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.093
2025-09-10T13:01:00.088177,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.055
2025-09-10T13:02:00.072828,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.093
2025-09-10T13:02:00.085956,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.055
2025-09-10T13:03:00.093685,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.093
2025-09-10T13:03:00.106200,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.055
2025-09-10T13:04:00.082163,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.093
2025-09-10T13:04:00.106824,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.055
2025-09-10T13:05:00.065927,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.093
2025-09-10T13:05:00.107657,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.055
2025-09-10T13:06:00.058472,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.093
2025-09-10T13:06:00.113980,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.055
2025-09-10T13:07:00.058454,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.093
2025-09-10T13:07:00.100308,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.055
2025-09-10T13:08:00.061786,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.093
2025-09-10T13:08:00.101111,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.055
2025-09-10T13:09:00.053590,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.093
2025-09-10T13:09:00.094485,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.055
2025-09-10T13:10:00.059258,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.093
2025-09-10T13:10:00.092571,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.055
2025-09-10T13:11:00.201201,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.055
2025-09-10T13:11:01.377130,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.093
2025-09-10T13:11:23.467384,RpcUpdateType.STATUS,Blue,True,4.0,3.4,246.1,0.055
2025-09-10T13:11:24.498848,RpcUpdateType.STATUS,Blue,True,4.0,0.0,246.1,0.055
2025-09-10T13:11:24.527489,RpcUpdateType.STATUS,Blue,True,4.0,0.0,246.1,0.0
2025-09-10T13:11:35.812336,RpcUpdateType.STATUS,Blue,True,4.0,5.8,246.1,0.0
2025-09-10T13:11:35.827504,RpcUpdateType.STATUS,Blue,True,4.0,5.8,246.1,0.055
2025-09-10T13:11:49.154252,RpcUpdateType.STATUS,Blue,True,4.0,3.3,246.1,0.055
2025-09-10T13:11:50.198981,RpcUpdateType.STATUS,Blue,True,4.0,4.8,246.1,0.055
2025-09-10T13:12:00.074861,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.093
2025-09-10T13:12:00.089759,RpcUpdateType.STATUS,Blue,True,4.0,4.8,246.1,0.055
2025-09-10T13:12:21.029300,RpcUpdateType.STATUS,Blue,True,4.0,0.0,246.1,0.055
2025-09-10T13:12:21.153221,RpcUpdateType.STATUS,Blue,True,4.0,0.0,246.1,0.0
