timestamp,sensor_timestamp,input_temp,co2_ppm,solar_vol_cmd,r_pwm,b_pwm,pred_temp,pred_power,pred_pn,target_solar_vol,target_mean_power,cost,success,note
2025-10-02 12:33:46,2025-10-02T12:33:19.702000,59.022869149688034,450.0,1.2317200568739055,33.96641376755893,8.98880458918631,60.53829258538361,28.54757808592888,5.825974463155989,1.6,66.58672728779518,1730013.7524620136,True,power_budget_seg:2
2025-10-02 12:48:46,2025-10-02T12:48:38.069000,60.53829258538361,450.0,1.4,52.071848081109565,14.267962020277391,62.5530477236649,42.59898536179287,5.825962046482866,1.6,66.58672728779518,1956927.5189733128,True,power_budget_seg:2
2025-10-02 13:03:46,2025-10-02T13:03:25.827000,62.5530477236649,450.0,1.2134649633511476,32.6561696342783,8.552056544759434,64.01430340317845,27.497839913683837,5.825960137044431,1.6,66.58672728779518,2273731.3587418892,True,power_budget_seg:2
2025-10-02 13:18:46,2025-10-02T13:18:13.612000,64.01430340317845,450.0,1.2513333422659707,35.37414099104728,9.458046997015758,65.58792471442702,29.675417520633477,5.825959797072196,1.6,66.58672728779518,2520901.2410928113,True,power_budget_seg:2
2025-10-02 13:33:46,2025-10-02T13:33:31.966000,65.58792471442702,450.0,1.3612740828977172,47.96757372934594,13.241893432336486,67.48776967528813,39.516248707766835,5.8259597297297585,1.6,66.58672728779518,2802304.7442114796,True,power_budget_seg:2
2025-10-02 13:48:46,2025-10-02T13:48:19.655000,67.48776967528813,450.0,1.28430936402966,38.267020645674535,10.38010619370236,69.15923968309485,31.967750015367358,5.825959721459843,1.6,66.58672728779518,3158881.9368429305,True,power_budget_seg:2
2025-10-02 14:03:46,2025-10-02T14:03:07.387000,69.15923968309485,450.0,1.1632770239342651,29.053972083198346,7.351324027732782,70.47157429232064,24.61184013907057,5.825959720502539,1.6,66.58672728779518,3492327.7859128895,True,power_budget_seg:2
2025-10-02 14:18:46,2025-10-02T14:18:25.746000,70.47157429232064,450.0,1.2571293507215842,35.79014467056528,9.596714890188426,72.06239391441113,30.008710325456832,5.825959720339776,1.6,66.58672728779518,3765598.9499265123,True,power_budget_seg:2
2025-10-02 14:33:46,2025-10-02T14:33:13.533000,72.06239391441113,450.0,1.2848202510832716,38.332791339550326,10.399837401865097,73.735379861061,32.01912666805917,5.825959720316332,1.6,66.58672728779518,4109701.388950943,True,power_budget_seg:2
2025-10-02 14:48:46,2025-10-02T14:48:31.874000,73.735379861061,450.0,1.2631413829319456,36.22165327515829,9.740551091719428,75.34403879438392,30.354425328018458,5.825959720313864,1.6,66.58672728779518,4488832.301552361,True,power_budget_seg:2
