PPFD,CO2,T,R:B,Pn_avg,count
200.0,400.0,24.0,0.83,10.090443261756782,2
300.0,400.0,24.0,0.83,13.687981177130514,2
400.0,400.0,24.0,0.83,15.90275287664524,2
500.0,400.0,24.0,0.83,17.255617678299355,2
600.0,400.0,24.0,0.83,17.925466030557658,2
800.0,400.0,24.0,0.83,18.556904100394235,2
1000.0,400.0,24.0,0.83,18.639945693177026,2
0.0,400.0,24.0,0.88,-0.6300210726828299,2
50.0,400.0,24.0,0.88,2.646756564555602,2
100.0,400.0,24.0,0.88,5.6119121941202454,2
200.0,400.0,24.0,0.88,10.52839475024279,2
300.0,400.0,24.0,0.88,13.955034393198185,2
400.0,400.0,24.0,0.88,15.866588766326615,2
500.0,400.0,24.0,0.88,16.7132335981142,2
600.0,400.0,24.0,0.88,16.996551029655002,2
800.0,400.0,24.0,0.88,17.27450784820394,2
1000.0,400.0,24.0,0.88,17.125680361206673,2
0.0,400.0,24.0,1.0,-0.8041480156651559,2
50.0,400.0,24.0,1.0,2.495451501885122,2
100.0,400.0,24.0,1.0,5.08255120048225,2
200.0,400.0,24.0,1.0,9.556858367724177,2
300.0,400.0,24.0,1.0,12.282006691189391,2
400.0,400.0,24.0,1.0,13.851529032626388,2
500.0,400.0,24.0,1.0,14.591524816291269,2
600.0,400.0,24.0,1.0,15.025862775889372,2
800.0,400.0,24.0,1.0,15.307423663942316,2
1000.0,400.0,24.0,1.0,15.24541200130112,2
0.0,400.0,26.0,0.5,-1.1619984378882329,1
50.0,400.0,26.0,0.5,1.985870695453591,1
100.0,400.0,26.0,0.5,4.378518281253183,1
200.0,400.0,26.0,0.5,7.633213859539792,1
300.0,400.0,26.0,0.5,9.61073325302952,1
400.0,400.0,26.0,0.5,10.72974317452659,1
500.0,400.0,26.0,0.5,11.278996926645425,1
600.0,400.0,26.0,0.5,11.480473395129527,1
800.0,400.0,26.0,0.5,11.670322699682565,1
1000.0,400.0,26.0,0.5,11.31389268590794,1
0.0,400.0,26.0,0.75,-1.1579304885566841,2
50.0,400.0,26.0,0.75,2.078614046390758,2
100.0,400.0,26.0,0.75,4.615546561558062,2
200.0,400.0,26.0,0.75,7.811443615944295,2
300.0,400.0,26.0,0.75,9.992304214315295,2
400.0,400.0,26.0,0.75,11.326150387403715,2
500.0,400.0,26.0,0.75,12.134934933657831,2
600.0,400.0,26.0,0.75,12.573125929964732,2
800.0,400.0,26.0,0.75,12.953368344685886,2
1000.0,400.0,26.0,0.75,13.033189515979036,2
0.0,400.0,26.0,0.83,-0.8630321223913338,2
50.0,400.0,26.0,0.83,2.357779357575593,2
100.0,400.0,26.0,0.83,5.164746133138016,2
200.0,400.0,26.0,0.83,9.79059138344888,2
300.0,400.0,26.0,0.83,13.13806674906088,2
400.0,400.0,26.0,0.83,15.461855142613294,2
500.0,400.0,26.0,0.83,16.67967820351887,2
600.0,400.0,26.0,0.83,17.332148655898507,2
800.0,400.0,26.0,0.83,17.71487509659419,2
1000.0,400.0,26.0,0.83,17.580570641679497,2
0.0,400.0,26.0,0.88,-0.7574859050132652,1
50.0,400.0,26.0,0.88,2.4447111725973953,1
100.0,400.0,26.0,0.88,5.325780482178957,1
200.0,400.0,26.0,0.88,10.185278395365549,1
300.0,400.0,26.0,0.88,13.54470085203301,1
400.0,400.0,26.0,0.88,15.597811296918335,1
500.0,400.0,26.0,0.88,16.49136164082214,1
600.0,400.0,26.0,0.88,16.709435535446712,1
800.0,400.0,26.0,0.88,16.809918048687177,1
1000.0,400.0,26.0,0.88,16.361706753299437,1
0.0,400.0,26.0,1.0,-1.1606477154085217,2
50.0,400.0,26.0,1.0,2.2533748615595552,2
100.0,400.0,26.0,1.0,4.9788592799509885,2
200.0,400.0,26.0,1.0,8.902822055975061,2
300.0,400.0,26.0,1.0,11.465569695175208,2
400.0,400.0,26.0,1.0,12.94169432578596,2
500.0,400.0,26.0,1.0,13.647766111153368,2
600.0,400.0,26.0,1.0,13.995285531603768,2
800.0,400.0,26.0,1.0,14.140794563188084,2
1000.0,400.0,26.0,1.0,13.850544473055997,2
0.0,400.0,30.0,0.5,-1.590037952769921,1
50.0,400.0,30.0,0.5,1.790907776813413,1
100.0,400.0,30.0,0.5,4.259228755779032,1
200.0,400.0,30.0,0.5,7.871396934461811,1
300.0,400.0,30.0,0.5,10.376524621396763,1
400.0,400.0,30.0,0.5,11.860499956622814,1
500.0,400.0,30.0,0.5,12.734665221106525,1
600.0,400.0,30.0,0.5,13.076501900679412,1
800.0,400.0,30.0,0.5,13.352840174430472,1
1000.0,400.0,30.0,0.5,13.049733545281583,1
0.0,400.0,30.0,0.75,-1.7063016308542127,1
50.0,400.0,30.0,0.75,1.4108682957418783,1
100.0,400.0,30.0,0.75,3.9512607381556344,1
200.0,400.0,30.0,0.75,8.379671823900958,1
300.0,400.0,30.0,0.75,11.999303768215086,1
400.0,400.0,30.0,0.75,14.606399932023766,1
500.0,400.0,30.0,0.75,16.399180115904336,1
600.0,400.0,30.0,0.75,17.435195348117155,1
800.0,400.0,30.0,0.75,18.441980662083175,1
1000.0,400.0,30.0,0.75,18.46307304319552,1
0.0,400.0,30.0,0.83,-1.3191183017825263,2
50.0,400.0,30.0,0.83,1.918959421054884,2
100.0,400.0,30.0,0.83,4.572572064525916,2
200.0,400.0,30.0,0.83,8.796397687106321,2
300.0,400.0,30.0,0.83,12.173262337955345,2
400.0,400.0,30.0,0.83,14.433057573786229,2
500.0,400.0,30.0,0.83,15.80707654565856,2
600.0,400.0,30.0,0.83,16.46395502926851,2
800.0,400.0,30.0,0.83,17.096960406967586,2
1000.0,400.0,30.0,0.83,16.871521929263714,2
0.0,400.0,30.0,0.88,-1.2520763910031454,1
50.0,400.0,30.0,0.88,1.963510005475657,1
100.0,400.0,30.0,0.88,4.704236787480229,1
200.0,400.0,30.0,0.88,9.38117206068297,1
300.0,400.0,30.0,0.88,13.153831888746875,1
400.0,400.0,30.0,0.88,15.562135153408278,1
500.0,400.0,30.0,0.88,16.7362376514283,1
600.0,400.0,30.0,0.88,17.461511383319905,1
800.0,400.0,30.0,0.88,17.66124672379029,1
1000.0,400.0,30.0,0.88,17.028693156463564,1
0.0,400.0,30.0,1.0,-1.5612349401046912,1
50.0,400.0,30.0,1.0,1.935396149563532,1
100.0,400.0,30.0,1.0,4.4829926685230745,1
200.0,400.0,30.0,1.0,7.757619754844041,1
300.0,400.0,30.0,1.0,9.766378586861372,1
400.0,400.0,30.0,1.0,11.01979304421566,1
500.0,400.0,30.0,1.0,11.577121822540756,1
600.0,400.0,30.0,1.0,11.95548132786221,1
800.0,400.0,30.0,1.0,12.292729557605249,1
1000.0,400.0,30.0,1.0,12.343276387920865,1
0.0,800.0,18.0,0.5,-0.4282017269967348,1
50.0,800.0,18.0,0.5,2.566853748840154,1
100.0,800.0,18.0,0.5,5.017975817902984,1
200.0,800.0,18.0,0.5,8.534685272242216,1
300.0,800.0,18.0,0.5,10.683089612359964,1
400.0,800.0,18.0,0.5,11.851243855643895,1
500.0,800.0,18.0,0.5,12.469659942664077,1
600.0,800.0,18.0,0.5,13.00476720153226,1
