Solar_Vol,PPFD,CO2,T,R:B,Pn_avg,count
1.670269,500.0,400.0,26.0,0.75,12.134934933657831,2
1.777072,600.0,400.0,26.0,0.75,12.573125929964732,2
0.0,0.0,400.0,26.0,0.83,-0.8630321223913338,2
1.017639,100.0,400.0,26.0,0.83,5.164746133138016,2
1.275173,200.0,400.0,26.0,0.83,9.79059138344888,2
1.428204,300.0,400.0,26.0,0.83,13.13806674906088,2
1.562632,400.0,400.0,26.0,0.83,15.461855142613294,2
1.665951,500.0,400.0,26.0,0.83,16.67967820351887,2
1.783429,600.0,400.0,26.0,0.83,17.332148655898507,2
0.0,0.0,400.0,26.0,0.88,-0.7574859050132652,1
1.272704,200.0,400.0,26.0,0.88,10.185278395365549,1
1.425779,300.0,400.0,26.0,0.88,13.54470085203301,1
1.56309,400.0,400.0,26.0,0.88,15.597811296918335,1
1.680056,500.0,400.0,26.0,0.88,16.49136164082214,1
1.781374,600.0,400.0,26.0,0.88,16.709435535446712,1
0.0,0.0,400.0,26.0,1.0,-1.1606477154085215,2
0.818815,50.0,400.0,26.0,1.0,2.2533748615595552,2
0.999241,100.0,400.0,26.0,1.0,4.9788592799509885,2
1.257945,200.0,400.0,26.0,1.0,8.902822055975061,2
1.420129,300.0,400.0,26.0,1.0,11.465569695175208,2
1.566589,400.0,400.0,26.0,1.0,12.94169432578596,2
1.670568,500.0,400.0,26.0,1.0,13.647766111153368,2
0.0,0.0,400.0,30.0,0.5,-1.590037952769921,1
0.839616,50.0,400.0,30.0,0.5,1.790907776813413,1
1.040044,100.0,400.0,30.0,0.5,4.259228755779032,1
1.278819,200.0,400.0,30.0,0.5,7.871396934461811,1
1.450362,300.0,400.0,30.0,0.5,10.376524621396763,1
1.586366,400.0,400.0,30.0,0.5,11.860499956622814,1
1.686494,500.0,400.0,30.0,0.5,12.734665221106525,1
0.0,0.0,400.0,30.0,0.75,-1.7063016308542127,1
0.827675,50.0,400.0,30.0,0.75,1.4108682957418783,1
1.017454,100.0,400.0,30.0,0.75,3.9512607381556344,1
1.270912,200.0,400.0,30.0,0.75,8.379671823900958,1
1.438591,300.0,400.0,30.0,0.75,11.999303768215086,1
1.569479,400.0,400.0,30.0,0.75,14.606399932023766,1
1.670269,500.0,400.0,30.0,0.75,16.399180115904336,1
1.777072,600.0,400.0,30.0,0.75,17.435195348117155,1
0.0,0.0,400.0,30.0,0.83,-1.3191183017825263,2
1.017639,100.0,400.0,30.0,0.83,4.572572064525916,2
1.275173,200.0,400.0,30.0,0.83,8.796397687106321,2
1.428204,300.0,400.0,30.0,0.83,12.173262337955345,2
1.562632,400.0,400.0,30.0,0.83,14.433057573786227,2
1.665951,500.0,400.0,30.0,0.83,15.80707654565856,2
1.783429,600.0,400.0,30.0,0.83,16.46395502926851,2
0.0,0.0,400.0,30.0,0.88,-1.2520763910031454,1
1.272704,200.0,400.0,30.0,0.88,9.38117206068297,1
1.425779,300.0,400.0,30.0,0.88,13.153831888746875,1
1.56309,400.0,400.0,30.0,0.88,15.562135153408278,1
1.680056,500.0,400.0,30.0,0.88,16.7362376514283,1
1.781374,600.0,400.0,30.0,0.88,17.461511383319905,1
0.0,0.0,400.0,30.0,1.0,-1.5612349401046912,1
