segment_id,segment_type,condition_index,ratio_r,ratio_b,pwm_r,pwm_b,total_pwm,rb_ratio_pwm,segment_start_master_time,marker_off_request_master_time,marker_off_start_master_time,marker_off_delay_ms,marker_blue_request_master_time,marker_blue_start_master_time,marker_blue_delay_ms,marker_end_master_time,target_pwm_request_master_time,target_pwm_applied_master_time,target_pwm_delay_ms,steady_start_master_time,steady_end_master_time,segment_end_master_time,Ts,T_off,T_blue,T_settle,T_meas,N_spec,ppfd_1,ppfd_1_time,spec_file_1,ppfd_valid_count,PPFD_spec_mean
21,normal,21,7,1,39,6,45,6.500000,2026-03-08T15:34:23.728,2026-03-08T15:34:23.728,2026-03-08T15:34:24.663,935.0,2026-03-08T15:34:34.664,2026-03-08T15:34:35.527,863.0,2026-03-08T15:34:45.528,2026-03-08T15:34:45.528,2026-03-08T15:34:47.214,1686.0,2026-03-08T15:34:57.214,2026-03-08T15:35:47.214,2026-03-08T15:35:47.214,10.0,10.0,10.0,10.0,50.0,1,60.46968460083008,2026-03-08T15:35:22.214,archive/2026-03-08/standard_csv/raw_bytes_20260308_153524.csv,1,60.46968460083008
22,normal,22,7,1,52,8,60,6.500000,2026-03-08T15:35:47.215,2026-03-08T15:35:47.215,2026-03-08T15:35:48.014,799.0,2026-03-08T15:35:58.015,2026-03-08T15:35:58.998,983.0,2026-03-08T15:36:08.998,2026-03-08T15:36:08.998,2026-03-08T15:36:09.688,690.0,2026-03-08T15:36:19.688,2026-03-08T15:37:09.688,2026-03-08T15:37:09.688,10.0,10.0,10.0,10.0,50.0,1,79.63544464111328,2026-03-08T15:36:44.689,archive/2026-03-08/standard_csv/raw_bytes_20260308_153646.csv,1,79.63544464111328
23,normal,23,7,1,70,10,80,7.000000,2026-03-08T15:37:09.689,2026-03-08T15:37:09.689,2026-03-08T15:37:10.678,989.0,2026-03-08T15:37:20.678,2026-03-08T15:37:21.708,1030.0,2026-03-08T15:37:31.709,2026-03-08T15:37:31.709,2026-03-08T15:37:32.538,829.0,2026-03-08T15:37:42.539,2026-03-08T15:38:32.539,2026-03-08T15:38:32.539,10.0,10.0,10.0,10.0,50.0,1,105.02136993408203,2026-03-08T15:38:07.539,archive/2026-03-08/standard_csv/raw_bytes_20260308_153809.csv,1,105.02136993408203
24,normal,24,7,1,88,12,100,7.333333,2026-03-08T15:38:32.539,2026-03-08T15:38:32.539,2026-03-08T15:38:33.670,1131.0,2026-03-08T15:38:43.671,2026-03-08T15:38:44.680,1008.9999999999999,2026-03-08T15:38:54.680,2026-03-08T15:38:54.680,2026-03-08T15:38:55.790,1110.0,2026-03-08T15:39:05.790,2026-03-08T15:39:55.791,2026-03-08T15:39:55.791,10.0,10.0,10.0,10.0,50.0,1,129.7145538330078,2026-03-08T15:39:30.791,archive/2026-03-08/standard_csv/raw_bytes_20260308_153932.csv,1,129.7145538330078
25,normal,25,1,0,10,0,10,inf,2026-03-08T15:39:55.791,2026-03-08T15:39:55.791,2026-03-08T15:39:57.276,1485.0,2026-03-08T15:40:07.276,2026-03-08T15:40:07.973,697.0,2026-03-08T15:40:17.973,2026-03-08T15:40:17.973,2026-03-08T15:40:19.134,1161.0,2026-03-08T15:40:29.134,2026-03-08T15:41:19.134,2026-03-08T15:41:19.134,10.0,10.0,10.0,10.0,50.0,1,14.951926231384277,2026-03-08T15:40:54.135,archive/2026-03-08/standard_csv/raw_bytes_20260308_154056.csv,1,14.951926231384277
26,normal,26,1,0,30,0,30,inf,2026-03-08T15:41:19.135,2026-03-08T15:41:19.135,2026-03-08T15:41:19.733,598.0,2026-03-08T15:41:29.734,2026-03-08T15:41:30.769,1035.0,2026-03-08T15:41:40.769,2026-03-08T15:41:40.770,2026-03-08T15:41:41.862,1092.0,2026-03-08T15:41:51.863,2026-03-08T15:42:41.864,2026-03-08T15:42:41.864,10.0,10.0,10.0,10.0,50.0,1,43.15910339355469,2026-03-08T15:42:16.864,archive/2026-03-08/standard_csv/raw_bytes_20260308_154219.csv,1,43.15910339355469
27,normal,27,1,0,45,0,45,inf,2026-03-08T15:42:41.864,2026-03-08T15:42:41.864,2026-03-08T15:42:42.497,633.0,2026-03-08T15:42:52.497,2026-03-08T15:42:53.357,860.0,2026-03-08T15:43:03.357,2026-03-08T15:43:03.357,2026-03-08T15:43:04.468,1111.0,2026-03-08T15:43:14.468,2026-03-08T15:44:04.468,2026-03-08T15:44:04.468,10.0,10.0,10.0,10.0,50.0,1,64.33538055419922,2026-03-08T15:43:39.468,archive/2026-03-08/standard_csv/raw_bytes_20260308_154341.csv,1,64.33538055419922
28,normal,28,1,0,60,0,60,inf,2026-03-08T15:44:04.468,2026-03-08T15:44:04.468,2026-03-08T15:44:05.605,1137.0,2026-03-08T15:44:15.605,2026-03-08T15:44:16.367,762.0,2026-03-08T15:44:26.367,2026-03-08T15:44:26.367,2026-03-08T15:44:27.732,1365.0,2026-03-08T15:44:37.733,2026-03-08T15:45:27.733,2026-03-08T15:45:27.733,10.0,10.0,10.0,10.0,50.0,1,84.72547912597656,2026-03-08T15:45:02.733,archive/2026-03-08/standard_csv/raw_bytes_20260308_154504.csv,1,84.72547912597656
29,normal,29,1,0,80,0,80,inf,2026-03-08T15:45:27.733,2026-03-08T15:45:27.733,2026-03-08T15:45:28.543,810.0,2026-03-08T15:45:38.543,2026-03-08T15:45:39.621,1078.0,2026-03-08T15:45:49.622,2026-03-08T15:45:49.622,2026-03-08T15:45:50.457,835.0,2026-03-08T15:46:00.457,2026-03-08T15:46:50.458,2026-03-08T15:46:50.458,10.0,10.0,10.0,10.0,50.0,1,112.4727783203125,2026-03-08T15:46:25.458,archive/2026-03-08/standard_csv/raw_bytes_20260308_154627.csv,1,112.4727783203125
30,normal,30,1,0,100,0,100,inf,2026-03-08T15:46:50.458,2026-03-08T15:46:50.458,2026-03-08T15:46:51.281,823.0,2026-03-08T15:47:01.282,2026-03-08T15:47:02.309,1027.0,2026-03-08T15:47:12.309,2026-03-08T15:47:12.309,2026-03-08T15:47:13.397,1088.0,2026-03-08T15:47:23.397,2026-03-08T15:48:13.397,2026-03-08T15:48:13.398,10.0,10.0,10.0,10.0,50.0,1,135.3837127685547,2026-03-08T15:47:48.398,archive/2026-03-08/standard_csv/raw_bytes_20260308_154750.csv,1,135.3837127685547
