segment_id,segment_type,condition_index,ratio_r,ratio_b,pwm_r,pwm_b,total_pwm,rb_ratio_pwm,segment_start_master_time,marker_off_request_master_time,marker_off_start_master_time,marker_off_delay_ms,marker_blue_request_master_time,marker_blue_start_master_time,marker_blue_delay_ms,marker_end_master_time,target_pwm_request_master_time,target_pwm_applied_master_time,target_pwm_delay_ms,steady_start_master_time,steady_end_master_time,segment_end_master_time,Ts,T_off,T_blue,T_settle,T_meas,N_spec,ppfd_1,ppfd_1_time,spec_file_1,ppfd_valid_count,PPFD_spec_mean
21,normal,21,7,1,39,6,45,6.500000,2026-03-07T12:00:09.058,2026-03-07T12:00:09.058,2026-03-07T12:00:09.730,672.0,2026-03-07T12:00:19.730,2026-03-07T12:00:20.499,769.0,2026-03-07T12:00:30.500,2026-03-07T12:00:30.500,2026-03-07T12:00:31.763,1263.0,2026-03-07T12:00:41.764,2026-03-07T12:01:31.764,2026-03-07T12:01:31.764,10.0,10.0,10.0,10.0,50.0,1,110.78059387207031,2026-03-07T12:01:06.764,archive/2026-03-07/standard_csv/raw_bytes_20260307_120108.csv,1,110.78059387207031
22,normal,22,7,1,52,8,60,6.500000,2026-03-07T12:01:31.764,2026-03-07T12:01:31.764,2026-03-07T12:01:32.590,826.0,2026-03-07T12:01:42.590,2026-03-07T12:01:43.854,1264.0,2026-03-07T12:01:53.854,2026-03-07T12:01:53.854,2026-03-07T12:01:54.751,897.0,2026-03-07T12:02:04.752,2026-03-07T12:02:54.752,2026-03-07T12:02:54.752,10.0,10.0,10.0,10.0,50.0,1,145.2993621826172,2026-03-07T12:02:29.753,archive/2026-03-07/standard_csv/raw_bytes_20260307_120231.csv,1,145.2993621826172
23,normal,23,7,1,70,10,80,7.000000,2026-03-07T12:02:54.752,2026-03-07T12:02:54.752,2026-03-07T12:02:55.579,827.0,2026-03-07T12:03:05.579,2026-03-07T12:03:06.477,898.0,2026-03-07T12:03:16.477,2026-03-07T12:03:16.477,2026-03-07T12:03:17.707,1230.0,2026-03-07T12:03:27.708,2026-03-07T12:04:17.708,2026-03-07T12:04:17.708,10.0,10.0,10.0,10.0,50.0,1,191.34754943847656,2026-03-07T12:03:52.708,archive/2026-03-07/standard_csv/raw_bytes_20260307_120354.csv,1,191.34754943847656
24,normal,24,7,1,88,12,100,7.333333,2026-03-07T12:04:17.708,2026-03-07T12:04:17.708,2026-03-07T12:04:18.376,668.0,2026-03-07T12:04:28.376,2026-03-07T12:04:29.741,1365.0,2026-03-07T12:04:39.741,2026-03-07T12:04:39.741,2026-03-07T12:04:40.610,869.0,2026-03-07T12:04:50.610,2026-03-07T12:05:40.610,2026-03-07T12:05:40.610,10.0,10.0,10.0,10.0,50.0,1,249.82809448242188,2026-03-07T12:05:15.610,archive/2026-03-07/standard_csv/raw_bytes_20260307_120517.csv,1,249.82809448242188
25,normal,25,1,0,10,0,10,inf,2026-03-07T12:05:40.610,2026-03-07T12:05:40.610,2026-03-07T12:05:41.749,1139.0,2026-03-07T12:05:51.750,2026-03-07T12:05:53.104,1354.0,2026-03-07T12:06:03.105,2026-03-07T12:06:03.105,2026-03-07T12:06:04.465,1360.0,2026-03-07T12:06:14.465,2026-03-07T12:07:04.465,2026-03-07T12:07:04.465,10.0,10.0,10.0,10.0,50.0,1,26.76018524169922,2026-03-07T12:06:39.465,archive/2026-03-07/standard_csv/raw_bytes_20260307_120641.csv,1,26.76018524169922
26,normal,26,1,0,30,0,30,inf,2026-03-07T12:07:04.466,2026-03-07T12:07:04.466,2026-03-07T12:07:05.443,977.0,2026-03-07T12:07:15.443,2026-03-07T12:07:16.454,1010.9999999999999,2026-03-07T12:07:26.455,2026-03-07T12:07:26.455,2026-03-07T12:07:27.308,853.0,2026-03-07T12:07:37.309,2026-03-07T12:08:27.310,2026-03-07T12:08:27.310,10.0,10.0,10.0,10.0,50.0,1,77.21797943115234,2026-03-07T12:08:02.309,archive/2026-03-07/standard_csv/raw_bytes_20260307_120804.csv,1,77.21797943115234
27,normal,27,1,0,45,0,45,inf,2026-03-07T12:08:27.310,2026-03-07T12:08:27.310,2026-03-07T12:08:28.749,1439.0,2026-03-07T12:08:38.749,2026-03-07T12:08:39.808,1059.0,2026-03-07T12:08:49.808,2026-03-07T12:08:49.808,2026-03-07T12:08:51.054,1246.0,2026-03-07T12:09:01.054,2026-03-07T12:09:51.054,2026-03-07T12:09:51.054,10.0,10.0,10.0,10.0,50.0,1,114.91373443603516,2026-03-07T12:09:26.055,archive/2026-03-07/standard_csv/raw_bytes_20260307_120928.csv,1,114.91373443603516
28,normal,28,1,0,60,0,60,inf,2026-03-07T12:09:51.055,2026-03-07T12:09:51.055,2026-03-07T12:09:52.527,1472.0,2026-03-07T12:10:02.528,2026-03-07T12:10:03.570,1042.0,2026-03-07T12:10:13.570,2026-03-07T12:10:13.570,2026-03-07T12:10:14.493,923.0,2026-03-07T12:10:24.493,2026-03-07T12:11:14.494,2026-03-07T12:11:14.494,10.0,10.0,10.0,10.0,50.0,1,158.42724609375,2026-03-07T12:10:49.494,archive/2026-03-07/standard_csv/raw_bytes_20260307_121051.csv,1,158.42724609375
29,normal,29,1,0,80,0,80,inf,2026-03-07T12:11:14.494,2026-03-07T12:11:14.494,2026-03-07T12:11:15.365,871.0,2026-03-07T12:11:25.365,2026-03-07T12:11:26.217,852.0,2026-03-07T12:11:36.217,2026-03-07T12:11:36.217,2026-03-07T12:11:36.848,631.0,2026-03-07T12:11:46.848,2026-03-07T12:12:36.848,2026-03-07T12:12:36.848,10.0,10.0,10.0,10.0,50.0,1,201.482421875,2026-03-07T12:12:11.848,archive/2026-03-07/standard_csv/raw_bytes_20260307_121214.csv,1,201.482421875
30,normal,30,1,0,100,0,100,inf,2026-03-07T12:12:36.849,2026-03-07T12:12:36.849,2026-03-07T12:12:38.100,1251.0,2026-03-07T12:12:48.100,2026-03-07T12:12:49.160,1060.0,2026-03-07T12:12:59.160,2026-03-07T12:12:59.160,2026-03-07T12:13:00.151,991.0,2026-03-07T12:13:10.151,2026-03-07T12:14:00.151,2026-03-07T12:14:00.151,10.0,10.0,10.0,10.0,50.0,1,239.8607940673828,2026-03-07T12:13:35.151,archive/2026-03-07/standard_csv/raw_bytes_20260307_121337.csv,1,239.8607940673828
